Set Lambda Up(nm), Detector 5 (cts/s), Error Counts
1450.0, 22749.2, 242.32490586
1450.1, 19132.9, 193.712906127
1450.2, 29557.2, 251.468407558
1450.3, 16792.0, 693.003607494
1450.4, 30108.2, 521.727093412
1450.5, 15155.8, 873.241638952
1450.6, 30690.0, 939.877119628
1450.7, 18171.2, 344.649909328
1450.8, 18465.3, 268.63508706
1450.9, 28615.6, 280.546680608
1451.0, 14153.7, 524.26501886
1451.1, 37261.7, 980.219572341
1451.2, 16993.0, 305.440337873
1451.3, 26305.0, 275.101072335
1451.4, 26149.4, 551.877921283
1451.5, 18573.9, 567.259984487
1451.6, 27717.5, 336.22529649
1451.7, 15761.5, 513.652070959
1451.8, 30120.0, 416.244399362
1451.9, 21278.2, 203.058021265
1452.0, 23046.8, 273.129200197
1452.1, 22199.1, 867.610678819
1452.2, 19045.9, 671.037472873
1452.3, 22408.7, 470.371565892
1452.4, 21400.3, 414.398853763
1452.5, 21908.4, 717.068643855
1452.6, 23435.7, 898.735116706
1452.7, 21695.7, 618.78817862
1452.8, 20760.5, 708.233612588
1452.9, 26939.3, 1025.27382196
1453.0, 17465.5, 1180.14391072
1453.1, 32551.5, 1318.61042389
1453.2, 14669.6, 1203.7595441
1453.3, 25342.7, 1242.91158575
1453.4, 28114.5, 1262.8365888
1453.5, 11916.1, 470.34507545
1453.6, 36038.9, 2109.87755332
1453.7, 28525.9, 1729.85886419
1453.8, 9007.6, 1515.65116039
1453.9, 39123.2, 2298.07553401
1454.0, 16657.0, 1322.20127061
1454.1, 27733.5, 1382.30179411
1454.2, 37799.9, 1531.25650692
1454.3, 23740.6, 770.580456539
1454.4, 14223.0, 699.108718298
1454.5, 30312.2, 1514.77310512
1454.6, 23052.5, 683.313288324
1454.7, 14115.1, 648.001612652
1454.8, 15276.7, 560.352219591
1454.9, 25104.2, 917.087869291
1455.0, 15652.9, 704.782015945
1455.1, 26632.5, 1728.19051322
1455.2, 22719.6, 963.256684379
1455.3, 9785.7, 997.747167373
1455.4, 23871.6, 1239.7548306
1455.5, 42389.7, 2596.95687488
1455.6, 9095.4, 1745.0264869
1455.7, 15419.9, 993.738642702
1455.8, 33475.1, 392.9586365
1455.9, 18410.9, 367.391194777
1456.0, 13418.9, 135.503837584
1456.1, 22775.4, 794.193074762
1456.2, 23532.3, 292.745640446
1456.3, 17949.6, 507.499793103
1456.4, 15409.4, 468.666021811
1456.5, 22359.4, 511.768541433
1456.6, 22068.6, 695.272349515
1456.7, 15107.4, 514.061513829
1456.8, 13474.4, 562.475457242
1456.9, 21738.2, 1122.58539096
1457.0, 18315.6, 848.517790032
1457.1, 20289.3, 834.028902377
1457.2, 15073.2, 750.41625782
1457.3, 7875.9, 830.256520601
1457.4, 9031.7, 1048.88436446
1457.5, 33766.7, 1626.57776021
1457.6, 27700.9, 967.164872191
1457.7, 13160.5, 785.666373214
1457.8, 4154.1, 223.916256668
1457.9, 9000.2, 425.570863664
1458.0, 19694.9, 623.35743358
1458.1, 11543.7, 456.221010038
1458.2, 9248.0, 594.426782708
1458.3, 14372.3, 537.767989006
1458.4, 14321.5, 737.473694446
1458.5, 15602.1, 624.388733082
1458.6, 12176.0, 146.527130594
1458.7, 14735.2, 193.808049368
1458.8, 10162.0, 218.396428542
1458.9, 5511.2, 365.621060663
1459.0, 6305.0, 581.549138079
1459.1, 9194.5, 388.835247888
1459.2, 15914.9, 1179.90333926
1459.3, 15668.7, 274.394989021
1459.4, 13981.7, 207.69932595
1459.5, 13197.0, 240.930695429
1459.6, 9063.3, 184.152681219
1459.7, 6699.0, 84.3931276823
1459.8, 11686.3, 131.62754271
1459.9, 7898.2, 91.4142220883
1460.0, 9835.5, 185.662193244
1460.1, 6240.0, 104.716760836
1460.2, 5107.4, 103.949218371
1460.3, 5870.1, 421.21264226
1460.4, 11659.8, 780.420630173
1460.5, 32678.3, 1301.66877891
1460.6, 25140.2, 206.126563063
1460.7, 17266.0, 476.876294232
1460.8, 23007.5, 1141.81717013
1460.9, 13953.4, 1270.05143203
1461.0, 7757.9, 328.318275458
1461.1, 9364.7, 185.08271124
1461.2, 8824.6, 625.593030652
1461.3, 9166.9, 83.502634689
1461.4, 6584.4, 558.392191922
1461.5, 7927.7, 219.498542136
1461.6, 13374.3, 418.358948751
1461.7, 11734.2, 629.819783748
1461.8, 11034.1, 490.126402064
1461.9, 10269.2, 484.548408314
1462.0, 10957.3, 513.500545277
1462.1, 11357.9, 324.80500304
1462.2, 10869.0, 289.469169343
1462.3, 14607.0, 674.890954155
1462.4, 9989.0, 300.643975493
1462.5, 11618.7, 478.851970864
1462.6, 10077.6, 511.007671175
1462.7, 10851.5, 504.640317454
1462.8, 15014.0, 614.969267525
1462.9, 15866.2, 860.003581388
1463.0, 17988.2, 749.592929529
1463.1, 13451.7, 409.016393314
1463.2, 14020.1, 308.391455783
1463.3, 17374.8, 261.904104588
1463.4, 17395.6, 156.624519153
1463.5, 14653.3, 267.143051566
1463.6, 15801.1, 532.103457985
1463.7, 15687.4, 189.997473667
1463.8, 13331.9, 228.457632834
1463.9, 15478.2, 389.614116787
1464.0, 13529.9, 279.095485453
1464.1, 10825.6, 651.78404399
1464.2, 13347.7, 485.112162288
1464.3, 12074.5, 255.455769166
1464.4, 17472.4, 516.081040148
1464.5, 17420.9, 831.870596908
1464.6, 19626.3, 562.845458363
1464.7, 17747.0, 581.750805758
1464.8, 13577.4, 800.347074712
1464.9, 19275.1, 726.884234249
1465.0, 14739.1, 704.036994767
1465.1, 13075.7, 521.246400467
1465.2, 16118.2, 599.426692766
1465.3, 13966.0, 551.572841971
1465.4, 15928.3, 751.83309983
1465.5, 13470.2, 416.625923341
1465.6, 15120.0, 343.41869489
1465.7, 12967.8, 563.912723744
1465.8, 12931.6, 542.825607355
1465.9, 16248.5, 275.667644093
1466.0, 15564.5, 333.320041402
1466.1, 16293.7, 474.615223102
1466.2, 18774.4, 319.284262061
1466.3, 18578.9, 405.519530972
1466.4, 16466.8, 169.017040561
1466.5, 19752.8, 180.114297045
1466.6, 16305.4, 228.206573087
1466.7, 13658.4, 217.165006389
1466.8, 16022.3, 174.545724668
1466.9, 17829.1, 394.858569617
1467.0, 13984.8, 478.316589719
1467.1, 14635.3, 509.804874437
1467.2, 14023.2, 634.022838705
1467.3, 14094.4, 259.305688329
1467.4, 18466.9, 210.405061726
1467.5, 16641.9, 309.307436057
1467.6, 17129.7, 732.80093477
1467.7, 13717.6, 611.362118552
1467.8, 13488.2, 315.056756792
