Set Lambda (nm), Detector 5 (cts/s), Error Counts
1570.3, 89900.1, 664.525612749
1570.1, 96473.3, 1341.14675185
1569.9, 109018.8, 572.159907718
1569.7, 107177.2, 1452.27723249
1569.5, 87748.2, 509.052020917
1569.3, 75409.6, 1507.53893482
1569.1, 76000.7, 615.377615777
1568.9, 86634.8, 502.97729571
1568.7, 93344.8, 573.826419747
1568.5, 89845.3, 483.603153422
1568.3, 75032.5, 373.938029625
1568.1, 65093.2, 871.393688295
1567.9, 65254.8, 552.055033489
1567.7, 78005.6, 1188.22171332
1567.5, 85811.9, 556.180087741
1567.3, 83421.5, 561.549508058
1567.1, 73975.4, 968.238627612
1566.9, 74097.9, 614.243347542
1566.7, 71092.4, 528.01765122
1566.5, 83511.4, 387.255781106
1566.3, 90985.0, 543.244880326
1566.1, 85800.6, 1090.80999262
1565.9, 78313.7, 462.647176583
1565.7, 76504.6, 1175.87926251
1565.5, 84570.8, 720.713230071
1565.3, 94526.9, 1601.52505132
1565.1, 97587.8, 503.61926095
1564.9, 88182.5, 439.667658579
1564.7, 76304.7, 1207.49807867
1564.5, 76824.8, 267.190868107
1564.3, 79772.5, 400.994326643
1564.1, 97273.5, 1345.03600324
1563.9, 102787.0, 948.720823003
1563.7, 95882.2, 682.151566736
1563.5, 84478.3, 509.322304636
1563.3, 87608.8, 621.360088837
1563.1, 91941.2, 1034.57757563
1562.9, 110601.8, 1645.79262363
1562.7, 114822.4, 705.301240606
1562.5, 105370.4, 754.089676365
1562.3, 96054.1, 526.649874205
1562.1, 99969.0, 1311.60634338
1561.9, 111908.9, 511.509814178
1561.7, 128669.0, 651.515771106
1561.5, 128388.1, 728.819655333
1561.3, 109147.1, 857.938628341
1561.1, 96779.7, 1285.7590793
1560.9, 102880.6, 584.525824921
1560.7, 122803.5, 1955.47755037
1560.5, 142439.5, 687.497527268
1560.3, 132963.7, 816.954105198
1560.1, 110143.5, 1599.71661553
1559.9, 97085.9, 417.378353535
1559.7, 100679.0, 663.638003734
1559.5, 117974.7, 3463.26773582
1559.3, 133399.2, 2450.7846417
1559.1, 126282.8, 1185.0320502
1558.9, 103440.7, 1229.76372121
1558.7, 91294.7, 1028.34138787
1558.5, 96539.3, 648.194885818
1558.3, 121786.8, 778.353878387
1558.1, 147771.5, 2311.13111917
1557.9, 128285.9, 983.907256808
1557.7, 102383.8, 1791.88084425
1557.5, 92425.9, 869.511523788
1557.3, 102611.5, 627.166206041
1557.1, 158890.4, 67776.7344436
1556.9, 366711.2, 2331.88463694
1556.7, 337541.3, 2293.84402478
1556.5, 315381.5, 5150.98041639
1556.3, 305396.8, 1521.8783657
1556.1, 317699.9, 2190.84533685
1555.9, 0.0, 0.0
1555.7, 0.0, 0.0
1555.5, 0.0, 0.0
1555.3, 0.0, 0.0
