Delay (ns),Data 1, Detector 5 (cts/s), Error Counts, Detector 6 (cts/s), Error Counts,,,,,,,
0.260416667,1050,32.40370349,,,,,,,,,,
0.416666667,919,32.40370349,,,,,,,,,,0.15625
0.572916667,872,32.40370349,,,,,,,,,,
0.729166667,875,32.40370349,,,,,,,,,,
0.885416667,1065,32.40370349,,,7200,9.23923E-16,-120.3436442,,,,,
1.041666667,1010,32.40370349,,,700,8.98258E-17,-130.4659888,,,,,
1.197916667,1001,32.40370349,,,,,,,,,,
1.354166667,1006,32.40370349,,,,,,,,,,
1.510416667,1153,32.40370349,,,,,,,,,,
1.666666667,1132,32.40370349,,,,,,,,,,
1.822916667,1094,32.40370349,,,,,,,,,,
1.979166667,1234,32.40370349,,,,,,,,,,
2.135416667,1456,32.40370349,,,,,,,,,,
2.291666667,1343,32.40370349,,,,,,,,,,
2.447916667,1351,32.40370349,,,,,,,,,,
2.604166667,1480,32.40370349,,,,,,,,,,
2.760416667,1735,32.40370349,,,,,,,,,,
2.916666667,1749,32.40370349,,,,,,,,,,
3.072916667,1676,32.40370349,,,,,,,,,,
3.229166667,1800,32.40370349,,,,,,,,,,
3.385416667,2339,32.40370349,,,,,,,,,,
3.541666667,2205,32.40370349,,,,,,,,,,
3.697916667,2191,32.40370349,,,,,,,,,,
3.854166667,2337,32.40370349,,,,,,,,,,
4.010416667,2702,32.40370349,,,,,,,,,,
4.166666667,2687,32.40370349,,,,,,,,,,
4.322916667,2539,32.40370349,,,,,,,,,,
4.479166667,2927,32.40370349,,,,,,,,,,
4.635416667,3994,32.40370349,,,,,,,,,,
4.791666667,4427,32.40370349,,,,,,,,,,
4.947916667,4783,32.40370349,,,,,,,,,,
5.104166667,5188,32.40370349,,,,,,,,,,
5.260416667,6497,32.40370349,,,,,,,,,,
5.416666667,6590,32.40370349,,,,,,,,,,
5.572916667,6175,32.40370349,,,,,,,,,,
5.729166667,6549,32.40370349,,,,,,,,,,
5.885416667,7730,32.40370349,,,,,,,,,,
6.041666667,7414,32.40370349,,,,,,,,,,
6.197916667,6842,32.40370349,,,,,,,,,,
6.354166667,7088,32.40370349,,,,,,,,,,
6.510416667,8028,32.40370349,,,,,,,,,,
